11,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,14899338422106154935954618156544858699,b'ecdsa-with-SHA256',b'20210812120000Z',b'20200812000000Z',ABSA Bank,https://www.bepassion.com/mtab/sumc.php,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
12,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://orangs.webador.com/
13,,,geovanda.net,US,Let's Encrypt,Let's Encrypt Authority X3,2,391003774551316507877944783558928445431641,b'sha256WithRSAEncryption',b'20210209091134Z',b'20201111091134Z',Other,https://geovanda.net/
14,,,goindiaearn.com,US,"GoDaddy.com, Inc.",Go Daddy Secure Certificate Authority - G2,2,10140321947869275158,b'sha256WithRSAEncryption',b'20220218163435Z',b'20200218163435Z',Virustotal,https://goindiaearn.com/,"http://crl.godaddy.com/gdig2s1-1731.crl
"
1949,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://wtspmgjhxfvukpshbrozewasjhfglnbqhjur-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1950,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://mdbrouckbnynsixdmriqatjtpausukjayvxs-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1951,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://vsbwacjzeyzblzzswmfhkmiindoghxurdymi-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1952,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://clouddoc-authorize.firebaseapp.com/...x,"http://crl.pki.goog/GTS1O1.crl
"
1953,,,*.lapanetteria.mx,US,Let's Encrypt,Let's Encrypt Authority X3,2,399309604153067316035214293344158442370434,b'sha256WithRSAEncryption',b'20210102091045Z',b'20201004091045Z',Other,https://lapanetteria.mx/nawa/index.php?email=buchladen@rosta-online.de
1954,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://clouddoc-authorize.firebaseapp.com/......,"http://crl.pki.goog/GTS1O1.crl
"
1955,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://docsharex-authorize.firebaseapp.com/x,"http://crl.pki.goog/GTS1O1.crl
"
1956,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://docsharex-authorize.firebaseapp.com/...,"http://crl.pki.goog/GTS1O1.crl
"
1957,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://szcsgzprifpoxpskwrrmdyqrynlyzqgkysgl-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1958,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://pzdlwjcbmyteirosedndjmsatiofoqpsemhe-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1959,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://fluwxtdypmilqojrvohioryjhwltejecyprs-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1960,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://utahpakwhggvpswsyfkolchgadxokojdxjgp-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1961,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://graqvsgwiopeadcdxvcvbnjftgovfdcfjtnv-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1962,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://syjxzftcuzwjswvruogsknsidzjolvgfsash-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1963,,,verifymy-device.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,17269885305829795303257839230451675541,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://verifymy-device.uk/Login.php
1964,,,verifymy-device.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,17269885305829795303257839230451675541,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://verifymy-device.uk/
1965,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://tumnxnetnwovmtfupekpjakmcpekrcsaqfsy-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1966,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://widyestsxcdekmfmdldesiwmupprlqksehdy-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1967,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://sbctlbikdggibsadcfmfmmyhnenzhlmwuqlm-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1968,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://x9n44x9nvc9nn9a4l9xa4cds.df.r.appspot.com/νjames.schenck@penfed.org,"http://crl.pki.goog/GTS1O1core.crl
"
1969,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://fanwlaqumnutaeqzuxdfrydskamypoysoymj-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1970,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://mrnxajqdmrmdwkrpenecpvmkozeusfipwpgw-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1971,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://pqaxkffjrmnwgmem-dot-tetete-app.ue.r.appspot.com/x...,"http://crl.pki.goog/GTS1O1core.crl
"
1972,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://pqaxkffjrmnwgmem-dot-tetete-app.ue.r.appspot.com/......,"http://crl.pki.goog/GTS1O1core.crl
"
1973,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://pqaxkffjrmnwgmem-dot-tetete-app.ue.r.appspot.com/...x,"http://crl.pki.goog/GTS1O1core.crl
"
1974,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://pqaxkffjrmnwgmem-dot-tetete-app.ue.r.appspot.com/xx,"http://crl.pki.goog/GTS1O1core.crl
"
1975,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://ywzyghhixyrvahqaaagbidjttxjopljvzyvr-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1976,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://drvliojlufwbjtecspbtihxpfvjqwkocmlxs-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1977,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://ndtpwbjayljgwxnbrbezfmgukvfpgiixraqg-dot-offgl8876899977678.uk.r.appspot.com/x,"http://crl.pki.goog/GTS1O1core.crl
"
1978,US,Google LLC,*.appspot.com,US,Google Trust Services,GTS CA 1O1,2,221360114943093675893212340677064545657,b'sha256WithRSAEncryption',b'20210126073257Z',b'20201103073257Z',Other,https://one-drv-file.ey.r.appspot.com/,"http://crl.pki.goog/GTS1O1core.crl
"
1979,,,halifax-updatedevice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,62717820712682761247674155898905239872,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://www.halifax-updatedevice.com/
1980,,,halifax-updatedevice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,62717820712682761247674155898905239872,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://www.halifax-updatedevice.com/
1981,,,halifax-updatedevice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,62717820712682761247674155898905239872,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://www.halifax-updatedevice.com/Login.php
1982,,,glitch.com,US,Amazon,Amazon,2,12953212096050194519304190911808620436,b'sha256WithRSAEncryption',b'20210318120000Z',b'20200218000000Z',Other,https://jolly-weak-speedboat.glitch.me/,"http://crl.sca1b.amazontrust.com/sca1b.crl
"
1983,,,securemydevice.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,75722430965788736015653093838970985627,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://securemydevice.uk/
1984,,,securemydevice.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,75722430965788736015653093838970985627,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://securemydevice.uk/Login.php
1985,,,securemydevice.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,75722430965788736015653093838970985627,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://securemydevice.uk/
1986,,,thasl.org,US,Let's Encrypt,Let's Encrypt Authority X3,2,270133924578569396153748205076267488525389,b'sha256WithRSAEncryption',b'20201229161134Z',b'20200930161134Z',Other,https://thasl.org/w-p/x3342xsda/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418
1987,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,https://docsharex-authorize.firebaseapp.com/common/oauth2/authorize-client_id-43435a7b9-9a363-49130-a426-35363201d503&amp;redirect_uri-www-office-com-response_type-code-id_token&amp;scope-openid-profile&amp;response_mode-form_post&amp;nonce-637402967941920791-Y2FkNjEzMmQtZTE1NC00NjBkLWFiOTYtOWExMDcwYTJlM2Q2N2ZlMDIwNjctOWIyYS00MzZhLWI0NjctYzI3NmM2OGIxZmE4&amp;ui_locales=en-US&amp;mkt=en-US&amp;client-request-idaa28d8e1-058b-4002-a687-8a271de76ed6&amp;state=7ynxU_43bB49ObxK6fyeLMFrS5Zpa0bLtGntUmD69Tf91ft_9m0BSx-GAdmxHr-754MYwJ7S,"http://crl.pki.goog/GTS1O1.crl
"
1988,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,5249591241023825410064936284019961194,b'ecdsa-with-SHA256',b'20211105235959Z',b'20201106000000Z',Other,http://www.mobile-portail.live/personal/e/authID=73lB0/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
1989,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,5249591241023825410064936284019961194,b'ecdsa-with-SHA256',b'20211105235959Z',b'20201106000000Z',Other,https://www.mobile-portail.live/personal/e/authID=73lB0/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
1990,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,13132768857398039280144013237584115707,b'ecdsa-with-SHA256',b'20211104235959Z',b'20201105000000Z',Other,https://www.oronge.digital/personal/e/authID=dtYiz/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
1991,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,13132768857398039280144013237584115707,b'ecdsa-with-SHA256',b'20211104235959Z',b'20201105000000Z',Other,http://www.oronge.digital/personal/e/authID=dtYiz/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
1992,,,my-newpayments.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,153789081537904388732373094427116714715,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://my-newpayments.com/Login.php
1993,,,my-newpayments.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,153789081537904388732373094427116714715,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,http://my-newpayments.com/
1994,,,mytax-refundform.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,136754585381583150529883892687823430140,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://mytax-refundform.com/
1995,,,radio.ncbn.ng,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,115123661756744975634152427345733551158,b'sha256WithRSAEncryption',b'20210813235959Z',b'20200813000000Z',Other,https://ncbn.ng/sitemap/poste.php
1996,,,confirm-transfer-reference11772.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,182850999567805666496449869366627675024,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Lloyds Bank,https://confirm-transfer-reference11772.com/lloyds
1997,,,confirm-transfer-reference11772.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,182850999567805666496449869366627675024,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Lloyds Bank,https://confirm-transfer-reference11772.com/lloyds/Login.php
1998,,,securenew-payment.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,180418291548117348927617308291789388407,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Lloyds Bank,https://securenew-payment.com/lloyds
1999,,,securenew-payment.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,180418291548117348927617308291789388407,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Lloyds Bank,https://securenew-payment.com/lloyds/Login.php
2000,,,securedhsalerts-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,106314360244821904519946291780758458837,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',HSBC Group,http://securedhsalerts-payee.com/
2001,US,"DigitalOcean, LLC",*.fra1.digitaloceanspaces.com,US,DigiCert Inc,DigiCert SHA2 Secure Server CA,2,18182689076062363164232695520490915161,b'sha256WithRSAEncryption',b'20210401120000Z',b'20200305000000Z',Other,https://fra1.digitaloceanspaces.com/zooms/zoom.html,"http://crl4.digicert.com/ssca-sha2-g6.crl
"
2002,,,kiacops.com,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,222498569206242419543241525832924473434,b'sha256WithRSAEncryption',b'20210103235959Z',b'20201005000000Z',Other,https://www.kiacops.com/wp-includes/certificates/gmx/gmx.php,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
2003,,,gsyahhsjhg.top,US,Let's Encrypt,Let's Encrypt Authority X3,2,367723761252910614214764400814306222234691,b'sha256WithRSAEncryption',b'20210210192509Z',b'20201112192509Z',Amazon.com,https://gsyahhsjhg.top/pc/
2004,,,*.webador.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,188518757446218715777716850020544207668,b'sha256WithRSAEncryption',b'20210908235959Z',b'20200907000000Z',Other,https://authentificationsmsmms.webador.com/
2005,,,mail.unitedfreedomalliance.org,US,Let's Encrypt,Let's Encrypt Authority X3,2,405789065878032730012567660281645066124315,b'sha256WithRSAEncryption',b'20210210213642Z',b'20201112213642Z',Other,https://unitedfreedomalliance.org/wordpress/unu/login.php?44dc2385867b025df7a418fd228bff244c3ee857
2006,,,www.amozan.co.jp.zhimajz.cn,US,Let's Encrypt,Let's Encrypt Authority X3,2,335349222391148593486788269943188942998728,b'sha256WithRSAEncryption',b'20210208134130Z',b'20201110134130Z',Amazon.com,https://www.amozan.co.jp.zhimajz.cn/pc/
2007,,,www.venturenomix.eu,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,287195722551367039552475953848596120395,b'sha256WithRSAEncryption',b'20210128235959Z',b'20201030000000Z',JPMorgan Chase and Co.,https://www.venturenomix.eu/chase/signin/XBALTI%20V3/XBALTI%20V3/,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
2008,,,webnode.com,US,Let's Encrypt,Let's Encrypt Authority X3,2,410581289874021619658301254458141417345280,b'sha256WithRSAEncryption',b'20201215062346Z',b'20200916062346Z',Facebook,https://konfirmasi-akun-anda1974.webnode.com/
2009,US,"eBay, Inc.",www.ebay.com,US,DigiCert Inc,DigiCert SHA2 Secure Server CA,2,9644281305180766936859168351590582032,b'sha256WithRSAEncryption',b'20210806120000Z',b'20200805000000Z',"eBay, Inc.",https://ebay.reconfirm-posting.us/itm/2012-E-Z-GO-Golf-Cart---48-Volts/6587436790/u/7979000/,"http://crl4.digicert.com/ssca-sha2-g6.crl
"
2010,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,5249591241023825410064936284019961194,b'ecdsa-with-SHA256',b'20211105235959Z',b'20201106000000Z',Other,http://mobile-portail.live/personal/e/authID=X9OTh/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
2011,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,5249591241023825410064936284019961194,b'ecdsa-with-SHA256',b'20211105235959Z',b'20201106000000Z',Other,http://mobile-portail.live/personal/e/authID=aq1pY/,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
2012,,,nat-auth.net,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,228719472054328386359277042881322954825,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://nat-auth.net/
2013,,,halifax-onlineuk.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,264170440997360226309977798339817498691,b'sha256WithRSAEncryption',b'20211104235959Z',b'20201104000000Z',Other,https://halifax-onlineuk.com/
2014,US,"Cloudflare, Inc.",sni.cloudflaressl.com,US,"Cloudflare, Inc.",Cloudflare Inc ECC CA-3,2,7859194050362786142944949034586143436,b'ecdsa-with-SHA256',b'20211027235959Z',b'20201028000000Z',Other,http://app-personnalite.com/itau/~/index.html?geyh-l1swzajkk5zghjbopcml9ssaa3z4tvndxc,"http://crl4.digicert.com/CloudflareIncECCCA-3.crl
"
2015,,,verify-newdevice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,298574249179058831046550610439610861272,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://verify-newdevice.com/Login.php
2016,,,verify-newdevice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,298574249179058831046550610439610861272,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://verify-newdevice.com/
2017,,,unknownpayeesecurity.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,4838444882530885026298293631852356902,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://unknownpayeesecurity.com/
2018,,,unknownpayeesecurity.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,4838444882530885026298293631852356902,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://unknownpayeesecurity.com/Login.php
2019,,,security-appendpayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,327021455575614777075407630439501066727,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://security-appendpayee.com/
2020,,,security-appendpayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,327021455575614777075407630439501066727,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://security-appendpayee.com/Login.php
2021,,,security-appendpayee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,327021455575614777075407630439501066727,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://security-appendpayee.com/
2022,,,www.removesecure-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,260626064229041479093446377130191372765,b'sha256WithRSAEncryption',b'20211106235959Z',b'20201106000000Z',Other,https://removesecure-payee.com/Login.php
2023,,,www.removesecure-payee.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,260626064229041479093446377130191372765,b'sha256WithRSAEncryption',b'20211106235959Z',b'20201106000000Z',Other,https://removesecure-payee.com/
2024,,,personal-deviceservice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,196742378692691588111489400277129738836,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://personal-deviceservice.com/
2025,,,personal-deviceservice.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,196742378692691588111489400277129738836,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://personal-deviceservice.com/Login.php
2026,,,zonasegura-dnsweboperacion.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,329326538173338770154180843483886945175,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,https://zonasegura-dnsweboperacion.com/BNlWeb/lnicio/logins.do
2027,,,zonasegura-dnsweboperacion.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,329326538173338770154180843483886945175,b'sha256WithRSAEncryption',b'20211110235959Z',b'20201110000000Z',Other,http://zonasegura-dnsweboperacion.com/
2028,,,halifax-secure-bank-alerts.live,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,19802364568781178760095257944173115726,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://halifax-secure-bank-alerts.live/
2029,,,halifax-secure-bank-alerts.live,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,19802364568781178760095257944173115726,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,http://halifax-secure-bank-alerts.live/
2030,,,secured-devicederegister.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,176325851071985819147577966636184538936,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://secured-devicederegister.com/Login.php
2031,,,secured-devicederegister.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,176325851071985819147577966636184538936,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://secured-devicederegister.com/
2032,US,"Amazon.com, Inc.",www.amazon.co.jp,US,DigiCert Inc,DigiCert Global CA G2,2,16678971350951323736723058489889376618,b'sha256WithRSAEncryption',b'20210627120000Z',b'20200713000000Z',Amazon.com,http://173.82.129.204/ap/signin?openid.pape.max_auth_age=0&amp;openid.return_to=https%3A%2F%2F173.82.129.204%2F%3Fref_%3Dnav_em_hd_re_signin&amp;openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;openid.assoc_handle=jpflex&amp;openid.mode=checkid_setup&amp;key=a@b.c&amp;openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&amp;openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&amp;&amp;ref_=nav_em_hd_clc_signin,"http://crl4.digicert.com/DigiCertGlobalCAG2.crl
"
2033,,,www.alert-deregistered-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,265138364702106868907653609267163775296,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://alert-deregistered-device.com/Login.php
2034,,,www.alert-deregistered-device.com,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,265138364702106868907653609267163775296,b'sha256WithRSAEncryption',b'20211111235959Z',b'20201111000000Z',Other,https://alert-deregistered-device.com/
2035,,,texanacenter-authentication.cf,US,"cPanel, Inc.","cPanel, Inc. Certification Authority",2,242541240154100849727122433630544774712,b'sha256WithRSAEncryption',b'20210209235959Z',b'20201111000000Z',Other,https://texanacenter-authentication.cf/?login=do,"http://crl.comodoca.com/cPanelIncCertificationAuthority.crl
"
2036,,,dvla.refund-roadtax.co.uk,GB,Sectigo Limited,Sectigo RSA Domain Validation Secure Server CA,2,214017092901828346060271362273838291891,b'sha256WithRSAEncryption',b'20211112235959Z',b'20201112000000Z',Other,https://dvla.refund-roadtax.co.uk/
2037,US,Google LLC,firebaseapp.com,US,Google Trust Services,GTS CA 1O1,2,30193457406299776358924936943330682920,b'sha256WithRSAEncryption',b'20211020175539Z',b'20201021175539Z',Other,http://doclab-console-auth.firebaseapp.com/,"http://crl.pki.goog/GTS1O1.crl
"
